 7/ 7/1912	1E9A 37J7 +
 7/17/1912	235A 37J7 +
 7/19/1912	235A 37L3 +
 7/23/1912	235A 37L4  
 7/26/1912	235A 37L4 +
 8/13/1912	235A 37P0 +
 8/21/1912	235A 37P0  
 8/24/1912	235A 37P1 -
 9/ 3/1912	2A1A 37P1 -
 9/ 5/1912	2A0L 37P1 -
 9/ 6/1912	2A0L 37PJ -
 9/11/1912	2A9L 37PJ  
 9/23/1912	2A9L 37PL -
 9/28/1912	2A9L 37PL  
 9/30/1912	2A9L 380A  
10/16/1912	2A9L 380A +
10/18/1912	315L 380A +
10/20/1912	30EL 380A +
10/24/1912	30EL 380D  
10/25/1912	30EL 3817  
11/ 5/1912	30EL 3817 +
11/12/1912	30JA 3817 +
11/18/1912	30JA 3823 +
11/23/1912	30JA 3824  
11/30/1912	379A 3824  
12/ 1/1912	3799 3824  
12/13/1912	3799 3830  
12/22/1912	3799 3831 -
 1/ 3/1913	3799 3LP1 -
 1/ 7/1913	3799 3LPJ -
 1/10/1913	3799 3LPJ  
 1/11/1913	3L59 3LPJ  
 1/21/1913	3L59 3LPL -
 1/30/1913	3L59 3LPL  
 2/ 3/1913	3L59 3L7A  
 2/16/1913	3L59 3L7A +
 2/19/1913	4519 3L7D  
 3/ 5/1913	4519 3L7D -
 3/ 7/1913	4519 3L87 -
 3/21/1913	4519 3L7E  
 3/27/1913	451A 3L7E  
 3/30/1913	4DJA 3L7E  
 4/ 8/1913	4DJA 3L7E +
 4/14/1913	4DJA 3L7E  
 4/21/1913	4DJA 3L7J -
 5/ 2/1913	4DJA 3L71 -
 5/ 8/1913	 19A 3L71 -
 5/12/1913	 19A 3L71  
 5/22/1913	 19A 3L72 -
 5/28/1913	 19A 3L72  
 5/31/1913	 19A 3L7L  
 6/11/1913	 19A 3L7L +
 6/17/1913	 85A 3L7L +
 6/22/1913	 85A 3L7P  
 6/28/1913	 85A 3L7P +
 7/ 8/1913	 85A 3L8D +
 7/10/1913	 8LA 3L8D +
 7/24/1913	 8LA 3L8E  
 7/29/1913	 PAA 3L8E  
 8/ 6/1913	 PAA 3L98  
 8/24/1913	 PAA 3L99 -
 9/ 1/1913	 PAA 3LA5 -
 9/ 4/1913	 PAA 3LA5  
 9/16/1913	166A 3LA5  
 9/20/1913	166A 3LA5 +
 9/24/1913	166A 3LA6  
 9/27/1913	166A 3LD2  
10/ 9/1913	166A 3LD2 +
10/21/1913	166A 3LDL +
10/24/1913	166A 3LDP  
10/31/1913	166A 3LDP +
11/14/1913	166A 3LED +
11/23/1913	166A 3LEE  
11/24/1913	166A 3LEE -
12/ 8/1913	166A 3LJ8 -
12/13/1913	166A 3LJ8  
12/22/1913	166A 3LJ9 -
12/28/1913	15JA 3LJ9 -
 1/ 1/1914	15JA 3LL5 -
 1/ 4/1914	15JA 3LL5  
 1/21/1914	15JA 3LL6 -
 1/22/1914	15JA 45A6 -
 1/23/1914	15JA 45A6  
 1/25/1914	15JA 45D2  
 2/ 9/1914	15JA 45D2 +
 2/18/1914	15JA 45DL +
 2/19/1914	15JA 45DP  
 3/14/1914	15JA 453D  
 3/21/1914	15JA 4530 +
 4/ 7/1914	15JA 453E +
 4/17/1914	15JA 453E  
 4/21/1914	15JA 453J -
 5/ 2/1914	1E9A 4549 -
 5/ 5/1914	1E9A 4549  
 5/19/1914	1E9A 4549 +
 5/22/1914	1E9A 454A  
 5/26/1914	1E9A 4556  
 5/27/1914	1J2A 4556  
 6/ 3/1914	1J2A 4556 +
 6/20/1914	1J2A 4562 +
 6/22/1914	1J2A 4563  
 6/26/1914	23LA 4563  
 7/16/1914	23LA 456P  
 7/24/1914	23LA 4570 -
 8/11/1914	23LA 457E  
 8/15/1914	2AAA 457E  
 8/24/1914	2AAA 457J -
 8/25/1914	2AAD 457J -
 8/27/1914	2AAD 457J  
 9/ 7/1914	2AAD 4589  
 9/13/1914	2AAD 4589 +
 9/24/1914	2AAD 461A  
 9/29/1914	316D 461A  
10/ 2/1914	316D 461A +
10/10/1914	316D 4626 +
10/24/1914	316D 4627  
11/11/1914	382D 4627  
11/23/1914	382D 4628 -
12/ 6/1914	382D 461E -
12/ 7/1914	382A 461E -
12/ 8/1914	382A 461E  
12/15/1914	382A 458E  
12/22/1914	3LLA 458E  
12/23/1914	3LLA 458J -
12/28/1914	3LLA 458J  
12/31/1914	3LLA 4599  
 1/15/1915	3LLA 4599 +
 1/21/1915	3LLA 459A  
 1/30/1915	45AA 459A  
 2/ 2/1915	45AA 459A +
 2/ 4/1915	45AA 4E5A +
 2/ 7/1915	45AA 4E66 +
 2/20/1915	45AA 4E67  
 2/24/1915	45AA 4E67 -
 3/ 7/1915	45AA 4E73 -
 3/10/1915	4E6A 4E73 -
 3/19/1915	4E6A 4E73  
 3/22/1915	4E6A 4E68 +
 4/ 2/1915	4E6A 4E74 +
 4/11/1915	4E6A 4E74  
 4/17/1915	 22A 4E74  
 4/21/1915	 22A 4E75 -
 4/27/1915	 22A 4DP1  
 5/11/1915	 22A 4DP1 +
 5/12/1915	 22D 4DP1 +
 5/22/1915	 22D 4DPL  
 5/26/1915	 8LD 4DPL  
 5/29/1915	 8LD 4DPL +
 6/16/1915	 8LD 4E0A +
 6/23/1915	 8LD 4E0D  
 7/ 6/1915	 PAD 4E0D  
 7/11/1915	 PAD 4E17  
 7/20/1915	 PAD 4EA7  
 7/24/1915	 PAD 4EA8 -
 8/ 4/1915	 PAD 4ED4  
 8/19/1915	166D 4ED4 +
 8/24/1915	166D 4ED5  
 8/29/1915	166D 4EE1  
 9/ 5/1915	166D 4EE1 +
 9/22/1915	166D 4EEJ +
 9/24/1915	166D 4EEL  
 9/28/1915	166D 4EEL +
10/ 8/1915	1J2D 4EEL +
10/16/1915	1J2D 4EJA +
10/21/1915	1J2D 4EJA  
10/25/1915	1J2D 4EJD -
11/ 9/1915	1J2D 4EL7 -
11/12/1915	1J2D 4EL7  
11/23/1915	1J2D 4EL8 -
12/ 1/1915	1J2D 4EL8  
12/ 3/1915	1J2D 4EP4  
12/20/1915	1J2D 4EP4 +
12/23/1915	1J2D 4EP5  
12/27/1915	1J2D 4J01  
 1/ 8/1916	1J2D 4J01 +
 1/20/1916	1J2D 4J0J +
 1/21/1916	1J2D 4J0L  
 2/12/1916	1J2D 02EL  
 2/14/1916	1J2D 024A  
 2/20/1916	1J2D 024D -
 3/10/1916	1J2D 0257 -
 3/15/1916	1J2D 0257  
 3/20/1916	1J2D 01E7  
 3/21/1916	1J2D 01DE +
 4/ 2/1916	1J2D 01DE  
 4/ 6/1916	1J2D 01E8  
 4/17/1916	1J2D 01E8 +
 4/20/1916	1J2D 01E9  
 5/ 2/1916	1J2D 0259  
 5/ 3/1916	1J2D 0259 +
 5/ 6/1916	1J2D 0265 +
 5/21/1916	1J2D 0266  
 5/29/1916	23LD 0266  
 6/22/1916	23LD 0267 -
 6/26/1916	23LD 0927 -
 7/11/1916	23LD 0927  
 7/23/1916	2AAD 0928 -
 7/26/1916	2AAD 0928  
 8/10/1916	2AAD 0928 +
 8/24/1916	2AAD 0929  
 8/29/1916	2AAD 0929 +
 9/ 9/1916	316D 0935 +
 9/23/1916	316D 0936  
10/ 8/1916	316D 0942  
10/18/1916	316E 0942  
10/22/1916	382E 0942  
10/24/1916	382E 0943 -
